question,contexts,ground_truth,answer
Можно ли не расписываться на карте?,"['После получения карты поставьте свою подпись в прямоугольнике, расположенном на оборотной стороне карты. При отсутствии подписи карта может быть не принята к оплате в торгово-сервисном предприятии, а также повышается риск использования карты злоумышленниками в случае ее утраты/кражи.']","При отсутствии подписи карта может быть не принята к оплате в торгово-сервисном предприятии, а также повышается риск использования карты злоумышленниками в случае ее утраты/кражи.","Да, для безопасного использования карты важно поставить свою подпись на оборотной стороне карты. Без подписи карта может не быть принята к оплате в торгово-сервисном предприятии, а также повышается риск использования карты злоумышленниками в случае ее утраты или кражи."
"Мой друг попросил меня дать свою карту для оплаты и потом вернуть, это не опасно?","['Никогда не принимайте рекомендации, советы, помощь от третьих лиц при пользовании картой, особенно при снятии наличных денежных средств в банкоматах. В случае возникновения затруднений при совершении операции обратитесь Банк посредством дистанционного обслуживания. Обращайте внимание на расположение банкоматов. Старайтесь не пользоваться банкоматами, расположенными в плохо освещенных и безлюдных местах', 'Не передавайте карту другим лицам, в т.ч. родственникам и знакомым для проведения транзакций. С целью исключения Ваших потерь от несанкционированного использования Вашей карты (копирования информации с Вашей карты для ее дальнейшего мошеннического использования): при совершении операции оплаты с использованием карты никогда не выпускайте Вашу карту из поля зрения и требуйте от обслуживающего Вас лица, чтобы все операции с использованием карты совершались в Вашем присутствии.']","Не передавайте карту другим лицам, в т.ч. родственникам и знакомым для проведения транзакций и никогда не принимайте рекомендации, советы, помощь от третьих лиц при пользовании картой, особенно при снятии наличных денежных средств в банкоматах.","Использование карты другим лицом для оплаты и последующего возврата может быть опасным, так как это нарушает правила безопасности использования карты. Поэтому рекомендуется не передавать карту другим лицам для проведения транзакций, даже если это ваш друг. Чтобы избежать рисков несанкционированного использования карты, следует соблюдать меры безопасности, описанные в пользовательском соглашении, такие как не передавать карту третьим лицам, следить за операциями с картой и не доверять ее использование другим людям. Если у вас возникли сомнения или вопросы относительно безопасности использования карты, рекомендуется обратиться в Банк для получения дополнительной информации."
Безопасно ли хранить пинкод в заметках в телефоне?,"['Категорически запрещается записывать ПИН-код на карте. Постарайтесь не записывать ПИН-код, запомните его. Если же Вы предпочитаете записать свой ПИН-код, никогда не указывайте, что это ПИН-код и не храните документ с записанным ПИН-кодом рядом с картой.']","Да, однако не указывайте в названии заметки, что это ПИН-код от Вашей карты.","Хранить пин-код в заметках в телефоне не является безопасным действием, так как это может привести к утечке конфиденциальной информации. Рекомендуется запомнить пин-код или хранить его в надежном месте, но не записывать его вместе с картой или в телефоне. Когда вводите пин-код, убедитесь, что вас никто не видит, чтобы избежать его компрометации. Кроме того, не передавайте пин-код третьим лицам, даже родственникам или знакомым. В случае утери или кражи карты, обязательно свяжитесь с банком для блокировки карты и получения дальнейших инструкций."
Я потеряла карту,"[' Вы потеряли карту или ее украли\nПрежде всего, как можно быстрее, сообщите о случившемся в Банк посредством дистанционного обслуживания \nи заблокируйте карту. Заблокировать карту можно по телефону, в интернет-банке или в мобильном приложении Банка. \nЧем раньше Вы это сделаете, тем меньше вероятность несанкционированного использования карты злоумышленниками. \nРазблокировать карту нельзя — можно только перевыпустить. Если вы не уверены, что карту украли, не спешите ее \nблокировать, установите лимит «0» на операции и запретите покупки через Интернет, если карта будет найдена лимиты \nможно изменить.\nНапоминаем Вам, что в соответствии с Общими условиями выпуска и обслуживания кредитных карт и Общими \nусловиями открытия, ведения и закрытия счетов физических лиц, а также выпуска и обслуживания расчетных карт Ваша \nответственность за дальнейшее использование карты прекращается, после осуществления блокировки, если не станет \nизвестно, что незаконное использование карты имело место с Вашего согласия.\nЕсли карта была у Вас украдена на территории РФ, после блокировки карты заявите о случившемся в полицию. При краже \nкарты за границей, заявите в полицию или в консульский отдел посольства Российской Федерации в стране, на территории \nкоторой произошла кража. Пожалуйста, сохраняйте копию протокола (квитанцию о заявлении) для последующего \nпредъявления в Банк.']","Если вы не уверены, что карту украли, не спешите ее блокировать, установите лимит «0» на операции и запретите покупки через Интернет, если карта будет найдена лимиты можно изменить. В случае, если вы полагаете, что Вашу карту всё-таки украли, то как можно быстрее, сообщите о случившемся в Банк посредством дистанционного обслуживания и заблокируйте карту. Это возможно сделать по телефону, в интернет-банке или в мобильном приложении Банка.","Если вы потеряли карту, вам необходимо незамедлительно уведомить Банк Tinkoff по телефонам 8 800 555-25-50 или +7 495 645-59-19 (круглосуточно) и заблокировать карту. Также вы должны подать заявление о досрочном перевыпуске карты. При этом после устного заявления Банк примет меры только по блокированию карты. Если потерянная карта будет найдена, обязательно верните ее в Банк, так как использование найденной карты в дальнейшем запрещено."
"Почему при использовании карты важно не расписываться на квитанциях/чеках до того, как вы проверите правильность указанной суммы?","['Проверяйте правильность суммы, указанной на платежном чеке. Поставив подпись на платежном чеке, Вы соглашаетесь со списанием указанной на нем суммы с Вашего карточного счета.']","Важно проверять правильность суммы перед подписанием квитанции/чека, потому что после подписи вы соглашаетесь с этой суммой, и она будет списана с вашего счета.","При использовании карты важно не расписываться на квитанциях/чеках до того, как вы проверите правильность указанной суммы, так как ваша подпись подтверждает факт совершения операции. Пожалуйста, перед тем, как поставить свою подпись, проверьте правильность информации на квитанции или чеке. В случае если операция проводится с использованием электронного терминала, кассир может предложить вам самостоятельно вставить карту в терминал и ввести ПИН-код на выносной клавиатуре электронного терминала. Операция по карте должна проводиться в вашем присутствии."
"Что делать, если я потеряла телефон, на котором было установлено мобильное приложение банка?","['При утрате Мобильного телефона, используемого с абонентским номером подвижной радиотелефонной связи, на который установлено Мобильное приложение Банка, Вам следует срочно обратиться к своему оператору сотовой связи для блокировки SIM-карты и в Банк посредством дистанционного обслуживания для блокировки доступа в мобильное приложение Банка и удаления данных карты с Мобильного телефона.']","Если вы потеряли телефон с установленным мобильным приложением банка, необходимо:

Срочно обратиться к оператору сотовой связи для блокировки SIM-карты.
Обратиться в банк через дистанционное обслуживание для блокировки доступа в мобильное приложение и удаления данных карты с телефона.","Если вы потеряли телефон, на котором было установлено мобильное приложение банка Tinkoff, вам следует срочно обратиться к вашему оператору сотовой связи для блокировки SIM-карты и в банк через дистанционное обслуживание для блокировки доступа в мобильное приложение банка и удаления данных карты с мобильного телефона."
Можно ли использовать интернет-кафе и другие общедоступные места для совершения операций по карте в интернете? Объясните причину.,"['Избегайте осуществления Интернет-операций с использованием карты в местах, где услуги Интернет являются общедоступными, например, в Интернет-кафе.']","Нет, не рекомендуется использовать интернет-кафе и другие общедоступные места для совершения операций по карте в интернете. Причина в том, что такие общедоступные сети являются менее безопасными, и есть риск перехвата данных карты злоумышленниками.","Для безопасности рекомендуется избегать совершения операций по карте в интернете в общедоступных местах, таких как интернет-кафе. Лучше использовать проверенные интернет-магазины, в которых вы уверены. При оплате покупок в сети Интернет следует вводить трехзначный код безопасности CVC2/CVV2 для повышения безопасности операций. Необходимо также предоставлять реквизиты карты только в защищенных режимах, внимательно следить за безопасностью при вводе ПИН-кода и не сообщать его третьим лицам. В случае затруднений или вопросов, рекомендуется обращаться в Банк через дистанционное обслуживание."
"Что делать, если я получил SMS-оповещение о операции по карте, которую я не совершал?","['Если Вы уверены, что операция не могла быть совершена Вами, то как можно быстрее сообщите об этом в Банк посредством дистанционного обслуживания и заблокируйте карту.']","Если вы получили SMS-оповещение о операции, которую не совершали, нужно как можно быстрее сообщить об этом в банк через дистанционное обслуживание и заблокировать карту.","Если вы получили SMS-оповещение о операции по карте, которую вы не совершали, следует как можно быстрее сообщить об этом в Банк посредством дистанционного обслуживания и заблокировать карту. Это можно сделать по телефону, в интернет-банке или в мобильном приложении Банка. Чем раньше вы заблокируете карту, тем меньше вероятность несанкционированного использования карты злоумышленниками. Не спешите блокировать карту, если вы не уверены, что она была украдена, установите лимит ""0"" на операции и запретите покупки через интернет. Необходимо также помнить, что ваша ответственность за дальнейшее использование карты прекращается после блокировки, если не станет известно, что незаконное использование карты имело место с вашего согласия. В случае кражи карты на территории РФ, после блокировки карты следует заявить в полицию. При краже карты за границей, следует обратиться в полицию или в консульский отдел посольства Российской Федерации в соответствующей стране и сохранить копию протокола для последующего предъявления в Банк."
Как обезопасить себя от съема данных карты в банкомате злоумышленниками? Приведи два способа.,"['Поэтому, при пользовании банкоматом не ленитесь внимательно осмотреть его и убедиться в отсутствии каких-либо «накладок» и посторонних устройств.', 'Пожалуйста, примите все меры, чтобы вводимый Вами ПИН-код был не заметен для окружающих.']","Чтобы обезопасить себя от съема данных карты в банкомате:

Внимательно осматривайте банкомат перед использованием на наличие подозрительных накладок и посторонних устройств.
Прикрывайте рукой клавиатуру при вводе ПИН-кода, чтобы его не могли увидеть окружающие.","Чтобы обезопасить себя от съема данных карты в банкомате злоумышленниками, рекомендуется:

1. Не передавать карту другим лицам для проведения транзакций, чтобы исключить возможность несанкционированного использования.
2. Внимательно осматривать банкомат перед использованием, чтобы убедиться в отсутствии подозрительных устройств, таких как прозрачные пленки или жесткие накладки, которые могут фиксировать вводимый ПИН-код."
"Правда ли, что при бронировании гостиницы по карте мне необходимо сообщить все реквизиты карты, включая ПИН-код? Если нет, то что именно требуется сообщить?","['При бронировании номера в гостинице по карте Вас попросят сообщить свое имя, номер карты, срок ее действия (иногда, дополнительно — трехзначный код безопасности, напечатанный на обратной стороне карты на полосе для подписи) и срок Вашего пребывания.']","Нет, неправда. При бронировании гостиницы по карте не требуется сообщать ПИН-код. Обычно для бронирования запрашивают ваше имя, номер карты, срок ее действия, иногда трехзначный код безопасности (CVV/CVC) с оборотной стороны карты и планируемый срок пребывания.","При бронировании гостиницы по карте необходимо сообщить следующие реквизиты: ваше имя, номер карты, срок ее действия, трехзначный код безопасности (CVV/CVC), срок вашего пребывания. Необходимо также запрашивать код подтверждения бронирования и уточнять стоимость проживания. При проверке подлинности карты может быть произведен авторизационный запрос на незначительную сумму, которая не будет списана с карты и станет доступна для использования через 30 дней. При отмене бронирования необходимо соблюдать сроки и правила отмены, чтобы избежать списания средств с вашего счета."
