question,contexts,ground_truth,answer
Можно ли не расписываться на карте?,"['После получения карты поставьте свою подпись в прямоугольнике, расположенном на оборотной стороне карты. При отсутствии подписи карта может быть не принята к оплате в торгово-сервисном предприятии, а также повышается риск использования карты злоумышленниками в случае ее утраты/кражи.']","При отсутствии подписи карта может быть не принята к оплате в торгово-сервисном предприятии, а также повышается риск использования карты злоумышленниками в случае ее утраты/кражи.","Да, при совершении операции оплаты покупки или услуги с использованием карты, Вы обязаны подписать квитанцию (слип) или чек, что подтверждает факт совершения операции. Без вашей подписи на полосе для подписи карта может быть считаться недействительной, и вам может быть отказано в обслуживании. В этом случае кассир может попросить вас расписаться на карте, предварительно проверив удостоверяющие личность документы."
"Мой друг попросил меня дать свою карту для оплаты и потом вернуть, это не опасно?","['Никогда не принимайте рекомендации, советы, помощь от третьих лиц при пользовании картой, особенно при снятии наличных денежных средств в банкоматах. В случае возникновения затруднений при совершении операции обратитесь Банк посредством дистанционного обслуживания. Обращайте внимание на расположение банкоматов. Старайтесь не пользоваться банкоматами, расположенными в плохо освещенных и безлюдных местах', 'Не передавайте карту другим лицам, в т.ч. родственникам и знакомым для проведения транзакций. С целью исключения Ваших потерь от несанкционированного использования Вашей карты (копирования информации с Вашей карты для ее дальнейшего мошеннического использования): при совершении операции оплаты с использованием карты никогда не выпускайте Вашу карту из поля зрения и требуйте от обслуживающего Вас лица, чтобы все операции с использованием карты совершались в Вашем присутствии.']","Не передавайте карту другим лицам, в т.ч. родственникам и знакомым для проведения транзакций и никогда не принимайте рекомендации, советы, помощь от третьих лиц при пользовании картой, особенно при снятии наличных денежных средств в банкоматах.","Да, передавать свою карту другому лицу для оплаты и затем возвращать ее может быть опасно, согласно правилам безопасности использования карты. Важно помнить, что необходимо совершать операции с использованием карты только в вашем присутствии и не передавать карту третьим лицам, даже родственникам или знакомым. Также следует всегда проверять правильность операций и не оставлять карту в организациях торговли."
Безопасно ли хранить пинкод в заметках в телефоне?,"['Категорически запрещается записывать ПИН-код на карте. Постарайтесь не записывать ПИН-код, запомните его. Если же Вы предпочитаете записать свой ПИН-код, никогда не указывайте, что это ПИН-код и не храните документ с записанным ПИН-кодом рядом с картой.']","Да, однако не указывайте в названии заметки, что это ПИН-код от Вашей карты.","Хранение пин-кода в заметках на телефоне является крайне небезопасной практикой, поскольку в случае утери или кражи телефона злоумышленники могут получить доступ к вашей банковской карты. Пин-код является конфиденциальной информацией, которую необходимо хранить в надежном месте и не передавать третьим лицам. Рекомендуется запомнить пин-код или хранить его в защищенном виде, чтобы обеспечить безопасность ваших финансов."
Я потеряла карту,"[' Вы потеряли карту или ее украли\nПрежде всего, как можно быстрее, сообщите о случившемся в Банк посредством дистанционного обслуживания \nи заблокируйте карту. Заблокировать карту можно по телефону, в интернет-банке или в мобильном приложении Банка. \nЧем раньше Вы это сделаете, тем меньше вероятность несанкционированного использования карты злоумышленниками. \nРазблокировать карту нельзя — можно только перевыпустить. Если вы не уверены, что карту украли, не спешите ее \nблокировать, установите лимит «0» на операции и запретите покупки через Интернет, если карта будет найдена лимиты \nможно изменить.\nНапоминаем Вам, что в соответствии с Общими условиями выпуска и обслуживания кредитных карт и Общими \nусловиями открытия, ведения и закрытия счетов физических лиц, а также выпуска и обслуживания расчетных карт Ваша \nответственность за дальнейшее использование карты прекращается, после осуществления блокировки, если не станет \nизвестно, что незаконное использование карты имело место с Вашего согласия.\nЕсли карта была у Вас украдена на территории РФ, после блокировки карты заявите о случившемся в полицию. При краже \nкарты за границей, заявите в полицию или в консульский отдел посольства Российской Федерации в стране, на территории \nкоторой произошла кража. Пожалуйста, сохраняйте копию протокола (квитанцию о заявлении) для последующего \nпредъявления в Банк.']","Если вы не уверены, что карту украли, не спешите ее блокировать, установите лимит «0» на операции и запретите покупки через Интернет, если карта будет найдена лимиты можно изменить. В случае, если вы полагаете, что Вашу карту всё-таки украли, то как можно быстрее, сообщите о случившемся в Банк посредством дистанционного обслуживания и заблокируйте карту. Это возможно сделать по телефону, в интернет-банке или в мобильном приложении Банка.","Если вы потеряли карту, вам следует немедленно сообщить об этом в банк посредством дистанционного обслуживания и запросить блокировку карты. Это поможет предотвратить несанкционированное использование вашей карты злоумышленниками. После блокировки карты, вы можете запросить перевыпуск карты через банк. Если вы не уверены, что карта была украдена, вы можете установить лимит ""0"" на операции и запретить покупки через интернет. Как только вы обнаружите утерянную карту после блокировки, обратитесь в банк для получения дальнейших инструкций. В случае кражи карты в РФ, необходимо заявить об этом в полицию. В случае кражи за границей, обратитесь в полицию или консульский отдел посольства Российской Федерации в стране, где произошла кража, и сохраните копию протокола для предъявления в банк."
"Почему при использовании карты важно не расписываться на квитанциях/чеках до того, как вы проверите правильность указанной суммы?","['Проверяйте правильность суммы, указанной на платежном чеке. Поставив подпись на платежном чеке, Вы соглашаетесь со списанием указанной на нем суммы с Вашего карточного счета.']","Важно проверять правильность суммы перед подписанием квитанции/чека, потому что после подписи вы соглашаетесь с этой суммой, и она будет списана с вашего счета.","При использовании карты важно не расписываться на квитанциях/чеках до того, как вы проверите правильность указанной суммы, чтобы избежать возможных ошибок или мошенничества. Подписание чека означает ваше согласие со списанием указанной суммы с вашего карточного счета. Поэтому всегда уделяйте время на внимательную проверку суммы перед подписанием квитанции или чека, чтобы избежать неприятных ситуаций и убедиться в корректности операции."
"Что делать, если я потеряла телефон, на котором было установлено мобильное приложение банка?","['При утрате Мобильного телефона, используемого с абонентским номером подвижной радиотелефонной связи, на который установлено Мобильное приложение Банка, Вам следует срочно обратиться к своему оператору сотовой связи для блокировки SIM-карты и в Банк посредством дистанционного обслуживания для блокировки доступа в мобильное приложение Банка и удаления данных карты с Мобильного телефона.']","Если вы потеряли телефон с установленным мобильным приложением банка, необходимо:

Срочно обратиться к оператору сотовой связи для блокировки SIM-карты.
Обратиться в банк через дистанционное обслуживание для блокировки доступа в мобильное приложение и удаления данных карты с телефона.","Если вы потеряли телефон, на котором было установлено мобильное приложение банка Tinkoff, вам следует срочно обратиться к своему оператору сотовой связи для блокировки SIM-карты. После этого необходимо обратиться в банк через дистанционное обслуживание для блокировки доступа в мобильное приложение банка и удаления данных карты с телефона. Важно также сообщить об утере телефона в банк через дистанционное обслуживание и оформить претензию. Сотрудник банка поможет вам с этим процессом."
Можно ли использовать интернет-кафе и другие общедоступные места для совершения операций по карте в интернете? Объясните причину.,"['Избегайте осуществления Интернет-операций с использованием карты в местах, где услуги Интернет являются общедоступными, например, в Интернет-кафе.']","Нет, не рекомендуется использовать интернет-кафе и другие общедоступные места для совершения операций по карте в интернете. Причина в том, что такие общедоступные сети являются менее безопасными, и есть риск перехвата данных карты злоумышленниками.","Для совершения операций по карте в интернете не рекомендуется использовать общедоступные места, такие как интернет-кафе. Это связано с риском неправомерного доступа к вашим реквизитам и данным карты. Рекомендуется использовать проверенные интернет-магазины, где вы уверены в надежности и безопасности проведения операций. При совершении покупок в сети интернет также следует быть осторожным и не сообщать свои реквизиты банковской карты, за исключением случаев использования автоматизированных систем или систем интернет-коммерции. Код безопасности CVC2/CVV2 также следует вводить для повышения безопасности операций с использованием карты в интернете."
"Что делать, если я получил SMS-оповещение о операции по карте, которую я не совершал?","['Если Вы уверены, что операция не могла быть совершена Вами, то как можно быстрее сообщите об этом в Банк посредством дистанционного обслуживания и заблокируйте карту.']","Если вы получили SMS-оповещение о операции, которую не совершали, нужно как можно быстрее сообщить об этом в банк через дистанционное обслуживание и заблокировать карту.","Если вы получили SMS-оповещение о операции по карте, которую вы не совершали, то в первую очередь проверьте наличие вашей карты. Если у вас есть карта, то возможно, данные вашей карты стали известны третьим лицам. Пожалуйста, учитывайте, что иногда SMS-сообщения могут доставляться с задержкой, поэтому вспомните соответствует ли текст в SMS-сообщении операциям, которые вы совершили по карте за последнее время. Если вы уверены, что операция не могла быть совершена вами, то как можно быстрее сообщите об этом в банк посредством дистанционного обслуживания и заблокируйте карту. Не забывайте, что при операциях в сети Интернет или заказах по телефону в SMS-сообщении могут быть указаны страна/город, отличающиеся от места вашего проживания. В случае подозрений в сомнительных обращениях от имени банка, немедленно проинформируйте об этом банк."
Как обезопасить себя от съема данных карты в банкомате злоумышленниками? Приведи два способа.,"['Поэтому, при пользовании банкоматом не ленитесь внимательно осмотреть его и убедиться в отсутствии каких-либо «накладок» и посторонних устройств.', 'Пожалуйста, примите все меры, чтобы вводимый Вами ПИН-код был не заметен для окружающих.']","Чтобы обезопасить себя от съема данных карты в банкомате:

Внимательно осматривайте банкомат перед использованием на наличие подозрительных накладок и посторонних устройств.
Прикрывайте рукой клавиатуру при вводе ПИН-кода, чтобы его не могли увидеть окружающие.","Для обезопасить себя от съема данных карты в банкомате злоумышленниками, важно соблюдать следующие два способа:

1. Не передавайте карту другим лицам, в том числе родственникам и знакомым, для проведения транзакций. При совершении операции оплаты с использованием карты, никогда не выпускайте карту из поля зрения и требуйте, чтобы все операции с картой совершались в вашем присутствии. Также старайтесь избегать использования банкоматов, расположенных в плохо освещенных и безлюдных местах.

2. Обращайте внимание на окружающих в момент снятия наличных денежных средств в банкомате. Помните, что мошенники могут подсматривать ваш ПИН-код или отвлекать вас, чтобы другой мошенник мог забрать деньги с карты. Поэтому, старайтесь вводить ПИН-код так, чтобы его не могли увидеть посторонние, и не отвлекайтесь, пока не получите деньги и карту из банкомата."
"Правда ли, что при бронировании гостиницы по карте мне необходимо сообщить все реквизиты карты, включая ПИН-код? Если нет, то что именно требуется сообщить?","['При бронировании номера в гостинице по карте Вас попросят сообщить свое имя, номер карты, срок ее действия (иногда, дополнительно — трехзначный код безопасности, напечатанный на обратной стороне карты на полосе для подписи) и срок Вашего пребывания.']","Нет, неправда. При бронировании гостиницы по карте не требуется сообщать ПИН-код. Обычно для бронирования запрашивают ваше имя, номер карты, срок ее действия, иногда трехзначный код безопасности (CVV/CVC) с оборотной стороны карты и планируемый срок пребывания.","При бронировании гостиницы по карте вам необходимо сообщить следующие реквизиты: ваше имя, номер карты, срок ее действия, и иногда трехзначный код безопасности, который находится на обратной стороне карты на полосе для подписи. Не требуется сообщать ПИН-код карты при бронировании номера в гостинице."
